"","name","hex"
"528","Holiday Blue","#32BCD1"
"529","Pilot Blue","#006981"
"530","Pastel Blue (RAL Design)","#BCCACA"
"531","Marine Blue","#0981D1"
"532","Porcelain Blue","#95C0CB"
"533","Schiava Blue","#192961"
"534","Dresden Blue","#0086BB"
"535","Lviv Blue","#384172"
"536","Arabian Blue","#143B79"
"537","Trekking Blue","#4E606D"
"538","Silver Blue","#8A9A9A"
"539","Cropper Blue","#5C7B97"
"540","Berry Blue","#32607A"
"541","Pompeii Blue","#004C71"
"542","Biedermeier Blue","#507CA0"
"543","New York Blue","#3D5AA5"
"544","Tropical Night Blue","#2A2E4C"
"545","Dark Denim Blue","#00334F"
"546","Navy Dark Blue","#004C6A"
"547","Corsican Blue","#646093"
"548","Antique Blue","#4E7B96"
"549","Workshop Blue","#02667B"
"550","Black Forest Blue","#29485A"
"551","Blue Atoll","#00B1D2"
"552","Old Glory Blue","#0A3161"
"553","Juniper Berry Blue","#3F626E"
"554","Matrix Blue","#31C9D4"
"555","Blue Mist","#5BACC3"
"556","Clinical Soft Blue","#B2CFD3"
"557","Blue Moon","#3686A0"
"558","Silver Lake Blue","#618BB9"
"559","Cone Green Blue","#4A6169"
"560","Mahonia Berry Blue","#62788E"
"561","Fresh Soft Blue","#6AB9BB"
"562","Real Blue","#3C3CE0"
"563","Meissen Blue","#007FB9"
"564","Bit Of Blue","#E2EAEB"
"565","Calcite Blue","#94B2B2"
"566","Bluest Blue","#0A68EF"
"567","Cranberry Blue","#7494B1"
"568","Power Blue","#2C477A"
"569","Diopside Blue","#8391A0"
"570","Harmony Blue","#91EDF7"
"571","Fine Blue","#B6E1E1"
"572","Subdued Blue","#A4B4C6"
"573","Baltic Blue","#6C969A"
"574","Tyrolite Blue-green","#00A499"
"575","Navy Blue (Pantone)","#403F6F"
"576","Blue Punk","#22E8FF"
"577","Dark Teal Blue","#215D6E"
"578","Sodalite Blue","#253668"
"579","Estate Blue","#233658"
"580","Curaçao Blue","#008894"
"581","Primal Blue","#0081B5"
"582","Classic Blue","#0F4C81"
"583","Mint Blue","#B3DCD6"
"584","Power Dark Blue","#112663"
"585","Dolphin Blue","#A5D1D3"
"586","Bird Blue Grey","#7F92A0"
"587","Cyan Blue","#15A3C7"
"588","Misty Blue","#94B3C4"
"589","Blue Tack","#9DBBD0"
"590","Dusty Blue","#65737E"
"591","Dark Royal Blue","#021945"
"592","Dazzling Blue","#3950A0"
"593","Bluesteel","#36637C"
"594","Ibiza Blue","#007CB8"
"595","Antarctic Blue","#CCEAE7"
"596","Autumn Blue","#1274A1"
"597","Prussian Blue CMYK","#083050"
"598","Summer Blue","#78A7DA"
"599","Vallarta Blue","#30658E"
"600","Blue Horizon","#4E6582"
"601","Azure Blue (Pantone)","#4D91C6"
"602","Vintage Dark Blue","#2B3246"
"603","Vibrant Soft Blue","#88D6DC"
"604","Nascent Blue","#7EE1FC"
"605","Celestial Blue","#A3B4C4"
"606","Air Blue","#77ACC7"
"607","Blue Indigo (Pantone)","#49516D"
"608","Linoleum Blue","#427C9D"
"609","Atlantic Blue","#008997"
"610","Artist Blue","#01343A"
"611","Basilica Blue","#4A9FA7"
"612","Cute Blue","#BAC8F7"
"613","Tulle Soft Blue","#D9E7E5"
"614","Ceramic Blue Turquoise","#16A29A"
"615","Gunmetal Blue","#373C49"
"616","Vista Blue","#80A0D4"
"617","Blue Iris","#5A5B9F"
"618","Mint Blue (RAL Design)","#BCE0DF"
"619","Beach Blue","#5F9CA2"
"620","Blue Glass","#C7E3E1"
"621","Cerulean Blue","#2A52BE"
"622","Ash Blue","#7A9598"
"623","Spring Blue","#4590FF"
"624","Turkish Blue (RAL Design)","#007FAE"
"625","Aroma Blue","#96D2D6"
"626","Prominent Blue","#2B7DA6"
"627","Danube Blue","#30A0AA"
"628","Best Light Blue","#B3CCF5"
"629","Parisian Blue","#4F7CA4"
"630","Easter Blue","#3ED1EE"
"631","Pallasite Blue","#314A4E"
"632","Matte Dark Blue","#0B0B60"
"633","Pale Blue (RAL Design)","#A7E3E2"
"634","Frost Blue","#ACD5F3"
"635","Pearl Blue","#B0B7BE"
"636","Beaucoup Blue","#32508E"
"637","Blueberry (Pantone)","#2C333E"
"638","Dark Imperial Blue","#173E7D"
"639","Dark Ocean Blue","#002B4D"
"640","Dark Grey-Blue","#424952"
"641","Premium Blue","#2C4C9C"
"642","Aquamarine Blue","#13B3AC"
"643","Winter Blue","#253559"
"644","Natural Blue-green","#51BEB5"
"645","Best Sky Blue","#4E9FE5"
"646","Premium Dark Blue","#13265C"
"647","Dark Midnight Blue","#08113B"
"648","Peacock Blue","#0F2CB3"
"649","Light Ocean Blue","#04789B"
"650","Imperial Blue","#134C97"
"651","Dark Peacock Blue","#16287A"
"652","Dark Blue-green","#1E8481"
"653","Dark Steel Blue","#295D8A"
"654","Dark Cornflower Blue","#325BBA"
"655","Dark Aquamarine Blue","#0F7D77"
"656","Muted Sky Blue","#85B0C1"
"657","Pastel Sky Blue","#B4D9EF"
"658","Cool Blue","#7492B9"
"659","Neutral Light Blue","#8C9BB5"
"660","Dull Sea Blue","#5490A4"
"661","Neutral Blue","#4D5C74"
"662","American Blue","#0A3161"
"663","Rich Sky Blue","#528CD3"
"664","Royal Blue CMYK","#424972"
"665","French Blue","#0055A4"
"666","Deep Blue CMYK","#002F5E"
"667","Matte Navy Blue","#2E2467"
"668","Best Blue","#315399"
"669","Bright Blue CMYK","#2A5CAA"
"670","Metallic Blue","#1B3D81"
"671","Sea Foam Blue","#2A868A"
"672","Highlighter Blue","#30C5FF"
"673","Birthday Blue","#ADCFE9"
"674","Beau Blue","#BCD4E6"
"675","Muted Navy Blue","#4B456B"
"676","Baby Blue Eyes","#A1CAF1"
"677","Dark Navy Blue","#0B0B45"
"678","Pastel Dark Blue","#3D426B"
"679","Pastel Blue-green","#A5E3E0"
"680","Camouflage Blue","#284B87"
"681","Polestar Blue","#D3E2FF"
"682","Pewter Blue","#8BA8B7"
"683","Soft Pale Blue","#D5F6F9"
"684","Little Boy Blue","#6EA1D4"
"685","Blue White","#F4F5FF"
"686","Muted Dark Blue","#3E436F"
"687","Blue Grey (RAL)","#5D686D"
"688","Calming Dark Blue","#2E3E64"
"689","Rich Electric Blue","#0892D0"
"690","Calming Blue-Green","#3F8077"
"691","Impact Blue","#1240C0"
"692","Soft Light Blue","#C7E4EE"
"693","Ocean Blue","#005477"
"694","Neon Powder Blue","#9AF3FF"
"695","Grey Blue (RAL)","#2D3A44"
"696","Mirror Blue","#2B67F1"
"697","Maastricht Blue","#001C3D"
"698","Medium Electric Blue","#035096"
"699","Pearl Night Blue (RAL)","#1B2F52"
"700","India Blue","#312C6A"
"701","Traffic Blue (RAL)","#005A8C"
"702","Soft Sky Blue","#C1F1FF"
"703","Seashell Blue","#DFEDFF"
"704","Pastel Blue (RAL)","#6792AC"
"705","Pale Sky Blue","#D3E1EB"
"706","Deep Azure Blue","#004DAB"
"707","Violet Blue (RAL)","#384E6F"
"708","Capri Blue (RAL)","#0F5D84"
"709","Relax Blue","#7AB7E2"
"710","Pastel Blue","#C9D6E8"
"711","Blue Indigo","#5710E5"
"712","Blue-Green CMYK","#78CDD1"
"713","Blue Calm","#7CB4BE"
"714","Matte Light Blue","#A6B6C9"
"715","Sky Blue (RAL)","#0B7BB0"
"716","Dark Electric Blue","#536878"
"717","Glossy Light Blue","#87C1FF"
"718","Deep Navy Blue","#000052"
"719","Spectrum Blue","#1642DE"
"720","Luxury Blue","#1F2B8F"
"721","Rich Blue","#3822CD"
"722","Sky Blue CMYK","#92C5EB"
"723","Retro Blue","#2C4E72"
"724","Naughty Blue","#007AEC"
"725","Warm Blue","#9BB9D0"
"726","Rich Blue-green","#14C0CC"
"727","Matte Blue-green","#57A9A5"
"728","Neon Light Blue","#83EEFF"
"729","Gentle Blue","#B4D0E2"
"730","Faded Blue","#969CBA"
"731","Deep Sea Blue","#256794"
"732","Dull Blue","#677FA3"
"733","Neon Dark Blue","#000370"
"734","Matte Sky Blue","#7AAEC4"
"735","Soft Blue-green","#9FCECE"
"736","Electric Blue","#7DF9FF"
"737","Steel Blue (RAL)","#1E2B3D"
"738","Neon Blue-Green","#00F2DE"
"739","Psychedelic Blue","#0038FF"
"740","Rich Deep Blue","#0B2275"
"741","Pure Blue","#0000FF"
"742","Perfect Blue","#045FD0"
"743","Deep Blue","#072A6C"
"744","Hot Blue","#600FFF"
"745","Blue CMYK","#2E3192"
"746","Aesthetic Blue","#284F8F"
"747","Muted Blue","#83A1CD"
"748","Deep Ocean Blue","#003C5F"
"749","Solid Blue","#2664F5"
"750","Pretty Blue","#4DA4EA"
"751","Deep Blue-Green","#006A6E"
"752","Trust Blue","#0A64BC"
"753","Refresh Blue","#87ADED"
"754","Navy Blue","#2D2363"
"755","Glossy Blue","#0D5BE1"
"756","Black Blue (RAL)","#1A1E28"
"757","Natural Blue","#499DD0"
"758","Happy Blue","#5156E5"
"759","Pearl Gentian Blue","#2C697C"
"760","Royal Blue (Pantone)","#3D428B"
"761","Night Blue","#2B2C5A"
"762","Fresh Blue","#74D7FC"
"763","Rainbow Blue","#1460BA"
"764","Fashion Blue","#2633CB"
"765","Imperial Blue (Pantone)","#005A92"
"766","Cobalt Blue","#0047AB"
"767","Royal Blue (Traditional)","#002366"
"768","Indigo Blue","#3F0FB7"
"769","Ukraine Blue","#0057B7"
"770","Blue-green","#0CBAA6"
"771","Pastel Navy Blue","#5E5CB2"
"772","Brandeis Blue","#0070FF"
"773","Bondi Blue","#0095B6"
"774","Israel Blue","#002EAC"
"775","Greek Blue","#1269C7"
"776","Rustic Blue","#525D80"
"777","Turkish Blue","#446BAD"
"778","Ateneo Blue","#003A6C"
"779","Pale Blue","#D7E5F0"
"780","Cobalt Blue (RAL)","#223053"
"781","Light Blue (RAL)","#2E88B6"
"782","Signal Blue","#005187"
"783","Ultramarine Blue (RAL)","#1E367B"
"784","Turquoise Blue (Ferrario)","#00B0C7"
"785","Matte Blue","#6577B3"
"786","Blue Lilac","#7B679A"
"787","Pale Robin Egg Blue","#96DED1"
"788","Bright Blue","#183EFA"
"789","Old Blue","#445B89"
"790","Air Superiority Blue","#72A0C1"
"791","Soft Navy Blue","#3D3D90"
"792","Penn Blue","#011F5B"
"793","Reflex Blue (Pantone)","#001489"
"794","Blue-Gray","#6699CC"
"795","PRU Blue","#72A0C1"
"796","Dark Blue-Gray","#666699"
"797","USAFA Blue","#004F98"
"798","True Blue (Pantone)","#1F4477"
"799","Ocean Blue (RAL)","#00414B"
"800","Medium Persian Blue","#0067A5"
"801","Gentian Blue","#004E7C"
"802","Dark Sea Blue","#022F8E"
"803","Vibrant Blue","#0022EE"
"804","Enzian Blue","#004E7C"
"805","Dark Blue (Pantone)","#00249C"
"806","Wild Blue Yonder","#7A89B8"
"807","Air Force Blue (RAF)","#5D8AA8"
"808","Green Blue","#1D4C64"
"809","Light Sea Blue","#44A7C4"
"810","Ultramarine Sky Blue (Ferrario)","#133E91"
"811","Fluorescent Blue","#4AF1F2"
"812","Turquoise Blue (RAL)","#1B8B8C"
"813","Permanent Blue","#2522CA"
"814","Prussian Blue (Ferrario)","#002C53"
"815","Sea Blue","#006994"
"816","Polynesian Blue","#254A63"
"817","Neon Blue","#4D4DFF"
"818","Blue Green (RAL)","#084442"
"819","Han Blue","#446CCF"
"820","Duck Blue","#007791"
"821","Light Blue","#ADD8E6"
"822","Cerulean Blue (Ferrario)","#007AB0"
"823","Maya Blue","#4C9FE2"
"824","Blue Sapphire","#151667"
"825","Ice Blue","#99FFFF"
"826","USAF Blue","#003087"
"827","Prussian Blue","#193050"
"828","Uranus Blue","#4FD0E7"
"829","Argentinian Blue","#6CACE4"
"830","Ruddy Blue","#63AAEA"
"831","Tekhelet Blue","#075299"
"832","Spanish Blue","#0070BB"
"833","Blue (Crayola)","#1F75FE"
"834","Dark Blue","#00008B"
"835","Baby Blue","#89CFF0"
"836","Shadow Blue","#778BA5"
"837","Royal Blue","#4169E1"
"838","Vivid Blue","#0000FF"
"839","Powder Blue","#B0E0E6"
"840","Savoy Blue","#0A36AF"
"841","Blue Violet","#8A2BE2"
"842","Soft Blue","#93CAED"
"843","Azure Blue","#2D5E78"
"844","Ultramarine Blue (Ferrario)","#013C89"
"845","Sky Blue (Crayola)","#80DAEB"
"846","Deep Cobalt Blue (Ferrario)","#005197"
"847","Distant Blue","#4A688D"
"848","Dark Slate Blue","#483D8B"
"849","Blue (Munsell)","#0093AF"
"850","Blue (NCS)","#0087BD"
"851","Medium Slate Blue","#7B68EE"
"852","Primary Blue (Ferrario)","#005185"
"853","Morning Blue","#8DA399"
"854","Chinese Blue","#446CCF"
"855","Faenza Blue","#00205B"
"856","YInMn Blue","#2E5090"
"857","Water Blue","#007577"
"858","New Blue","#2522CA"
"859","Vintage Blue","#303D57"
"860","Dark Sky Blue","#0BA8E6"
"861","Spanish Sky Blue","#00AAE4"
"862","Tech Blue","#2776EA"
"863","Wedgwood Blue","#7D9BCA"
"864","Faded Navy Blue","#414375"
"865","International Klein Blue","#1F18C0"
"866","French Sky Blue","#77B5FE"
"867","Marian Blue","#2B4593"
"868","Turquoise Blue","#00FFEF"
"869","Blue Yonder","#5A77A8"
"870","Teal Blue","#367588"
"871","Sky Blue (Pantone)","#8ABAD3"
"872","Bright Navy Blue","#1974D2"
"873","Blue-Black","#040720"
"874","Pigeon Blue","#687C96"
"875","Oriental Blue","#2522CA"
"876","Process Blue","#0085CA"
"877","Light Steel Blue","#B0C4DE"
"878","Blue Celeste","#7EC0EE"
"879","Vivid Sky Blue","#00CCFF"
"880","Deep King’s Blue","#4590C9"
"881","Blue Bell","#A2A2D0"
"882","Sapphire Blue","#263855"
"883","Relaxing Blue","#91B2C7"
"884","Celtic Blue","#0062B9"
"885","Medium Sky Blue","#80DAEB"
"886","Persian Blue","#1C2574"
"887","Delft Blue","#1F305E"
"888","Cornflower Blue (Crayola)","#93CCEA"
"889","Italian Blue","#0A36AF"
"890","Turnbull’s Blue","#182F59"
"891","Brilliant Blue (RAL)","#426A8C"
"892","Midnight Blue (Crayola)","#003366"
"893","St. Patrick’s Blue","#040556"
"894","Gray-Blue","#8C92AC"
"895","Angel Blue","#9ED5EF"
"896","Egyptian Blue","#1034A6"
"897","Blue Galaxy","#003697"
"898","Light Sky Blue","#87CEFA"
"899","Mountain Blue","#4E6CB4"
"900","Slate Blue","#6A5ACD"
"901","Carolina Blue","#7BAFD4"
"902","Amazon Echo Blue","#00A7CE"
"903","Steel Blue","#4682B4"
"904","Sky Blue","#87CEEB"
"905","Cornflower Blue","#6495ED"
"906","Midnight Blue","#191970"
"907","MTA Blue","#0039A6"
"908","Amazon Alexa Blue","#00CAFF"
"909","Twitter Blue","#1DA1F2"
"910","Deep Sky Blue","#00BFFF"
"911","Medium Blue","#0000CD"
"912","Dodger Blue","#1E90FF"
"913","Cadet Blue","#5F9EA0"
"914","Blue","#0000FF"
"915","Alice Blue","#F0F8FF"
"916","Blueberry","#4F86F7"
"917","Blue Jeans","#5DADEC"
"918","Lavender Blue","#CCCCFF"
"919","Discord Green","#57F287"
"920","Ukraine Yellow","#FFDD00"
"921","Cassandra","#9A6CBB"
"922","Greyish","#B2B9BB"
"923","Copper Sulphate","#0190EE"
"924","Digital Red","#FF0000"
"925","Cherry Pink","#E26F8F"
"926","Digital Yellow","#FFFF00"
"927","Digital Green","#008000"
"928","Digital Navy","#000080"
"929","Abyss","#02225D"
"930","Calming","#C6E5DA"
"931","Spearmint","#35A374"
"932","Calm","#B9D2D6"
"933","Yankee","#0A3064"
"934","Shades of White","#cccccc"
"935","Shiny Navy","#06068F"
"936","Full Orange","#FF8000"
"937","Full Yellow","#FFFF00"
"938","Nova","#93A4EC"
"939","Full Magenta","#FF00FF"
"940","Full Cyan","#00FFFF"
"941","Full Red","#FF0000"
"942","Full Green","#00FF00"
"943","Phthalo Green","#043A14"
"944","Placid","#67A2B9"
"945","Shiva","#281456"
"946","Ice Platinum","#D1E2E8"
"947","Marengo-clair","#D0D4D8"
"948","Lilac","#DCD0FF"
"949","Misty","#B4C1C9"
"950","Cerulean (Crayola)","#1DACD6"
"951","Complete List of HTML Color Names","#333333"
"952","Misty Ice","#D3E0E7"
"953","Cerulean Frost","#6D9BC3"
"954","Space","#37425B"
"955","Cerulean (RGB)","#008FBE"
"956","Cerulean","#007BA7"
"957","Cloudy Mist","#DCE7EC"
"958","Atlantic","#155370"
"959","Hawaii Ocean","#52B3C9"
"960","Full Black","#000000"
"961","Pastel Aqua","#D5F6FB"
"962","Deep Space","#35364A"
"963","Marina","#91CACF"
"964","青碧 (Seiheki)","#3A6960"
"965","Marengo","#525662"
"966","Full White","#FFFFFF"
"967","Gamboge","#E49B0F"
"968","Peacock Navy","#071048"
"969","瑠璃紺 (Rurikon)","#1B294B"
"970","紺桔梗 (Konkikyō)","#191F45"
"971","Antique Steel","#B1B6B7"
"972","紫紺 (Shikon)","#2B2028"
"973","空色 (Sora-iro)","#4D8FAC"
"974","錆浅葱 (Sabiasagi)","#6A7F7A"
"975","紺青色 (Konjō-iro)","#003171"
"976","Bright Grey","#EBECF0"
"977","Electric Gray","#A5ADAD"
"978","縹 (Hanada)","#044F67"
"979","Neon Aqua","#21F8F6"
"980","花浅葱 (Hanaasagi)","#1D697C"
"981","水色 (Mizu-iro)","#86ABA5"
"982","薄青 (Usuao)","#8C9C76"
"983","Orange CMYK","#F7941D"
"984","Magenta CMYK","#EC008C"
"985","紺 (Kon)","#192236"
"986","浅葱色 (Asagi-iro)","#48929B"
"987","青丹 (Aoni)","#52593B"
"988","Luxury Green","#135029"
"989","Pastel Turquoise","#98DEDE"
"990","Pastel Aquamarine","#B0E9D5"
"991","Clear Aqua","#DFFBFB"
"992","Oxblood","#4A0000"
"993","Dark Indigo","#2A0D5D"
"994","Prune","#1F1D30"
"995","Burgundy","#800020"
"996","Deep Indigo","#2B0071"
"997","Pale Aquamarine","#ACE9D4"
"998","Sapphire","#0F52BA"
"999","Denim","#1560BD"
"1000","Dark Aquamarine","#289D8C"
"1001","Pastel Teal","#63B7B7"
"1002","Matte Silver","#A5A5A8"
"1003","Faded Navy","#363B5E"
"1004","Glossy Silver","#BBC2CC"
"1005","Vintage Mint","#69B096"
"1006","Peacoat","#2B2E43"
"1007","Chinese Purple","#5218FA"
"1008","Purple Navy","#4E5180"
"1009","Aero","#7CB9E8"
"1010","International Orange (Engineering)","#BA160C"
"1011","Pastel Snow","#E5ECF8"
"1012","Space Cadet","#1E2952"
"1013","Dark Gunmetal Grey","#1D212E"
"1014","Safety Yellow (ANSI)","#EED202"
"1015","Rhythm","#777696"
"1016","Regimental","#32127A"
"1017","Periwinkle","#CCCCFF"
"1018","Artist’s Purple","#C71585"
"1019","French Ultramarine","#2522CA"
"1020","Persian Indigo","#32127A"
"1021","Hooker’s Green","#49796B"
"1022","Mist","#CDD8D9"
"1023","Livid","#6699CC"
"1024","Byzantium","#702963"
"1025","Independence","#4C516D"
"1026","Ice Green","#87D8C3"
"1027","Han Purple","#5218FA"
"1028","Medium Aquamarine","#66CDAA"
"1029","Royal Azure","#1866E1"
"1030","Royal Purple (Crayola)","#7851A9"
"1031","Sunset Pink","#D48ECD"
"1032","Purple","#800080"
"1033","Vintage Navy","#2A344D"
"1034","Glaucous","#6082B6"
"1035","Magenta","#FF00FF"
"1036","Purple (X11)","#A020F0"
"1037","Permanent Green","#009669"
"1038","Electricity","#B3CEFF"
"1039","Ultramarine","#2142AB"
"1040","Light Gunmetal","#344148"
"1041","Indigo Dye","#091F92"
"1042","Emerald Lake","#5BB6B6"
"1043","Ghost White","#F8F8FF"
"1044","Light Cyan","#E0FFFF"
"1045","Fluorescent Purple","#DF00FF"
"1046","Light Turquoise","#AFE4DE"
"1047","Christmas Red","#C30F16"
"1048","Penn Red","#990000"
"1049","Violet","#EE82EE"
"1050","Fuchsia","#FF00FF"
"1051","Teal","#008080"
"1052","Aqua","#00FFFF"
"1053","Indigo","#4B0082"
"1054","Navy","#000080"
"1055","Turquoise","#40E0D0"
"1056","Traditional Indigo","#274788"
"1057","Celeste","#B2FFFF"
"1058","Capri","#00BFFF"
"1059","Bianchi Green","#B2FFFF"
"1060","Azure (Traditional)","#0080FF"
"1061","Black","#000000"
"1062","Cyan","#00FFFF"
"1063","Red","#FF0000"
"1064","Green (X11)","#00FF00"
"1065","White","#FFFFFF"
